LINE_KEY,LAYER1_MATERIAL_NAME,LAYER1_COMPOSED_PERCENTAGE,LAYER2_MATERIAL_NAME,LAYER2_COMPOSED_PERCENTAGE,RAW_MATERIAL_NAME,RAW_MATERIAL_NAME_CLEAN,RAW_MATERIAL_COMPOSED_PERCENTAGE,EMISSION_FACTOR,UNIT,PERCENTAGE_TOTAL_CONTRIBUTION,PART,CLIENT_NAME,CLIENT_GROUP,DESCRIPTION,YEAR
3554_1650591548843_1993,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.021512914590690168,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DROMETTE,2022
2881_1657721007298_58036,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Lining,NEWORCH,Group - Orchestra,ESILVIA-AV HATS/SCARF,2022
3554_1654592416711_81326,,,,,polyester,Polyester plastic,0.35,4.685,kgCO2e/kg,0.35,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZG471 / ICLW22STBEI,2022
3554_1646971937616_84620,,,,,elastane,Elastane/Spandex fabric,0.49,8.775,kgCO2e/kg,0.49,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL791 / ADLW20ECOOL,2022
3554_1658739537274_4156,,,,,epoxy,Epoxy plastic,0.05,7.445,kgCO2e/kg,0.05,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
2883_1649836362882_26525,,,,,zinc alloy,Zinc,null,2.486,kgCO2e/kg,0.10072357677797172,null,SLG BRANDS LIMITED,Group - SLG,CLASSIC EARRINGS GOLD BOO001,2022
3006_1662608776656_99840,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.11075910991703262,null,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,2headbands in one set,2022
3554_1646724235352_50833,,,,,iron,Iron,0.8,2.366,kgCO2e/kg,0.8,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
3554_1643187488074_61375,,,,,elastodiene,Elastane/Spandex fabric,0.75,8.775,kgCO2e/kg,0.7499999999999999,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
3554_1654655610624_93740,,,,,polyamide,Nylon/Polyamide (PA) plastic,0.09,9.645,kgCO2e/kg,0.09,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZG461 / ICLW22CHARE-BROWNE,2022
3554_1670484463837_69215,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZT168 / ICLS23CRMAT-CIEL
1pcs Hair clip in set
with3%rebate",2022
3554_1664336739297_38100,,,,,elastane,Elastane/Spandex fabric,0.09,8.775,kgCO2e/kg,0.09,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZN330 / ICLS23CHPM1-ROSE QUAIL,2022
2900_1663818123423_45447,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC TAG NUTTY AR23 A0X

230gsm Coated paper
(FSC MIX CREDIT)",2022
3006_1662026172392_62626,,,,,linen,Flax fiber fabric,null,11.18,kgCO2e/kg,0.008085333531487294,null,Okaidi France SAS,Group - Okaidi,698664  BILLY,2022
3554_1652425947047_95913,,,,,polyester,Polyester plastic,0.3,4.685,kgCO2e/kg,0.3,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM881 / ADCW20CGRA2,2022
2881_1651732489448_87181,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,null,SLG BRANDS LIMITED,Group - SLG,CAMISOLE & SHORTS SET- POLKA DOT MEDIUM BOO001,2022
3554_1653275649527_79653,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.11075910991703262,null,NEWORCH,Group - Orchestra,ELASTBASIC-AV/AFIOFJ-GRF,2022
3554_1657249503219_90291,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL812 / ADLW201CRAB,2022
3554_1660029712816_63237,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL812 / ADLW201CRAB,2022
3554_1670223844349_94941,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZS211 / ICLS23CRTRA-PIINKE
1pcs hair clip in set
with 3% rebate",2022
2883_1650970980429_10008,,,,,silicone,Silicone plastic,null,8.105,kgCO2e/kg,0.07470201267114776,null,SLG BRANDS LIMITED,Group - SLG,GLASS DECANTER DUO BOO001,2022
4804_1646641654769_91706,,,,,iron,Iron,1,2.366,kgCO2e/kg,0.02,Other,Rituals Cosmetic Trade B.V.,Group - Rituals,Advent Christmas Lights,2022
